model,label,accuracy,precision,recall,f1,support
resnet50,dew,0.9864077669902913,0.9252336448598131,0.9428571428571428,0.9339622641509434,105
resnet50,fogsmog,0.9650485436893204,0.8108108108108109,0.9375,0.8695652173913043,128
resnet50,frost,0.9660194174757282,0.6956521739130435,0.9014084507042254,0.7852760736196318,71
resnet50,glaze,0.9485436893203884,0.7529411764705882,0.6666666666666666,0.707182320441989,96
resnet50,hail,0.9893203883495145,0.975609756097561,0.898876404494382,0.935672514619883,89
resnet50,lightning,0.996116504854369,0.9333333333333333,1.0,0.9655172413793104,56
resnet50,rain,0.9660194174757282,0.7558139534883721,0.8227848101265823,0.787878787878788,79
resnet50,rainbow,1.0,1.0,1.0,1.0,35
resnet50,rime,0.9485436893203884,0.8711656441717791,0.8160919540229885,0.8427299703264094,174
resnet50,sandstorm,0.9699029126213592,0.974025974025974,0.7211538461538461,0.8287292817679558,104
resnet50,snow,0.9514563106796117,0.7263157894736842,0.7419354838709677,0.7340425531914895,93
vit_base,dew,0.9922330097087378,0.9619047619047619,0.9619047619047619,0.9619047619047619,105
vit_base,fogsmog,0.9776699029126213,0.8832116788321168,0.9453125,0.9132075471698112,128
vit_base,frost,0.9864077669902913,0.8701298701298701,0.9436619718309859,0.9054054054054054,71
vit_base,glaze,0.9689320388349515,0.8333333333333334,0.8333333333333334,0.8333333333333334,96
vit_base,hail,0.9922330097087378,0.9879518072289156,0.9213483146067416,0.9534883720930233,89
vit_base,lightning,1.0,1.0,1.0,1.0,56
vit_base,rain,0.983495145631068,0.8604651162790697,0.9367088607594937,0.8969696969696971,79
vit_base,rainbow,1.0,1.0,1.0,1.0,35
vit_base,rime,0.9563106796116505,0.9006211180124224,0.8333333333333334,0.8656716417910448,174
vit_base,sandstorm,0.9864077669902913,0.9411764705882353,0.9230769230769231,0.9320388349514563,104
vit_base,snow,0.9660194174757282,0.8152173913043478,0.8064516129032258,0.8108108108108107,93
