split,category,samples
train,Opinion,2437
train,Art & Design,2431
train,Television,2419
train,Music,2416
train,Real Estate,2413
train,Travel,2413
train,Books,2412
train,Theater,2409
train,Health,2409
train,Sports,2407
train,Science,2387
train,Fashion & Style,2385
train,Food,2385
train,Movies,2384
train,Technology,2376
train,Dance,2365
train,Media,2363
train,Style,2147
train,Automobiles,1456
train,Economy,1398
train,Your Money,1020
train,Global Business,955
train,Education,672
train,Well,529
val,Food,326
val,Movies,325
val,Dance,318
val,Sports,314
val,Media,312
val,Fashion & Style,309
val,Science,308
val,Television,301
val,Travel,301
val,Technology,300
val,Music,299
val,Real Estate,289
val,Health,285
val,Books,284
val,Theater,281
val,Opinion,280
val,Style,271
val,Art & Design,257
val,Automobiles,196
val,Economy,180
val,Global Business,127
val,Your Money,109
val,Education,79
val,Well,72
test,Media,326
test,Technology,325
test,Dance,318
test,Art & Design,313
test,Theater,311
test,Health,307
test,Fashion & Style,307
test,Science,306
test,Books,305
test,Real Estate,299
test,Movies,292
test,Food,290
test,Travel,287
test,Music,286
test,Opinion,284
test,Television,281
test,Sports,280
test,Style,263
test,Economy,183
test,Automobiles,173
test,Your Money,134
test,Global Business,100
test,Well,80
test,Education,74
