category,f1_clip,support,f1_visualbert
Theater,0.9073783359497645,311,0.9453376205787781
Books,0.9017160686427457,305,0.9235668789808917
Health,0.8098693759071117,307,0.8549382716049383
Real Estate,0.9022801302931596,299,0.9212730318257957
Fashion & Style,0.7187928669410151,307,0.7532894736842105
Science,0.8590604026845637,306,0.8900169204737732
Technology,0.885145482388974,325,0.8759571209800919
Dance,0.9626168224299065,318,0.9747634069400631
Television,0.8857644991212654,281,0.9094202898550725
Movies,0.8993288590604027,292,0.924114671163575
Food,0.9019607843137255,290,0.9166666666666666
Opinion,0.8551724137931035,284,0.8846153846153846
Music,0.9020979020979021,286,0.9263157894736842
Media,0.8207547169811321,326,0.8395061728395061
Travel,0.8934010152284264,287,0.8996655518394648
Art & Design,0.8736349453978159,313,0.8885400313971743
Sports,0.9399656946826758,280,0.9714285714285714
Style,0.24550898203592814,263,0.5030181086519114
Automobiles,0.9362880886426593,173,0.9461756373937678
Economy,0.8387096774193549,183,0.848314606741573
Your Money,0.6968325791855203,134,0.8058608058608059
Global Business,0.865979381443299,100,0.8823529411764706
Education,0.732824427480916,74,0.7945205479452054
Well,0.11764705882352941,80,0.5
